dia,Zacatecas,Yucatán,Veracruz,Tlaxcala,Tamaulipas,Tabasco,Sonora,Sinaloa,San Luis Potosí,Quintana Roo,Querétaro,Puebla,Oaxaca,Nuevo León,Nayarit,Morelos,Michoacán,México,Jalisco,Hidalgo,Guerrero,Guanajuato,Durango,Ciudad de México,Colima,Coahuila,Chihuahua,Chiapas,Campeche,Baja California Sur,Baja California,Aguascalientes
101,71221,7817,1960,1352,8177,15531,16419,224506,114327,0,4064,3246,15270,17911,71612,894,15341,2932,49782,41658,9964,3902,10436,0,68424,0,93736,19383,3899,0,0,13912
102,64175,7041,1765,1218,7365,13989,14789,202412,103048,0,3660,2923,13754,16134,64546,806,13818,2641,44842,37542,8975,3514,9400,0,62081,0,84445,17459,3511,0,0,12545
103,57823,6342,1590,1097,6634,12600,13321,182467,92873,0,3297,2633,12388,14534,58172,726,12446,2379,40391,33830,8084,3165,8467,0,56228,0,76074,15725,3163,0,0,11310
104,52097,5712,1432,988,5975,11349,11998,164468,83695,0,2970,2371,11158,13092,52423,653,11211,2142,36382,30483,7281,2851,7626,0,50864,0,68531,14164,2849,0,0,10195
105,46936,5145,1289,890,5382,10223,10807,148229,75419,0,2675,2136,10050,11793,47239,589,10097,1930,32771,27466,6558,2568,6869,0,45971,0,61735,12758,2566,0,0,9189
106,42286,4634,1161,802,4847,9208,9734,133583,67958,0,2409,1924,9052,10623,42565,530,9095,1738,29518,24746,5907,2313,6187,0,41520,0,55612,11491,2311,0,0,8282
107,38095,4174,1046,722,4366,8293,8768,120375,61231,0,2170,1733,8154,9569,38352,477,8192,1565,26588,22295,5320,2083,5572,0,37481,0,50095,10350,2081,0,0,7464
108,34318,3760,942,650,3932,7470,7897,108467,55168,0,1954,1561,7344,8619,34554,430,7378,1410,23948,20086,4792,1876,5019,0,33822,0,45125,9322,1875,0,0,6726
109,30915,3387,848,586,3542,6728,7113,97731,49704,0,1760,1406,6615,7764,31131,387,6646,1270,21571,18095,4316,1690,4521,0,30510,0,40648,8397,1689,0,0,6060
110,27849,3050,764,528,3190,6060,6407,88055,44779,0,1585,1266,5958,6993,28047,349,5986,1144,19429,16301,3888,1522,4072,0,27516,0,36614,7563,1521,0,0,5460
111,25087,2747,688,475,2873,5458,5770,79333,40341,0,1428,1140,5366,6299,25267,314,5391,1030,17500,14685,3501,1371,3667,0,24811,0,32980,6812,1370,0,0,4920
112,22599,2474,620,428,2588,4916,5197,71473,36342,0,1286,1027,4833,5674,22762,283,4856,928,15762,13229,3154,1235,3303,0,22368,0,29707,6135,1234,0,0,4432
113,20356,2229,558,385,2331,4428,4681,64389,32739,0,1158,925,4353,5110,20505,255,4374,836,14197,11916,2841,1112,2975,0,20163,0,26759,5526,1111,0,0,3993
114,18337,2007,503,347,2099,3988,4216,58007,29492,0,1043,833,3921,4603,18472,229,3939,753,12788,10734,2558,1002,2680,0,18173,0,24103,4977,1001,0,0,3597
115,16517,1808,453,313,1891,3592,3798,52255,26567,0,940,750,3532,4146,16639,206,3548,678,11518,9669,2304,902,2413,0,16379,0,21710,4483,901,0,0,3241
116,14878,1628,408,282,1703,3235,3420,47073,23931,0,846,676,3181,3734,14989,186,3196,610,10374,8710,2075,812,2174,0,14760,0,19555,4038,812,0,0,2919
117,13401,1467,367,254,1534,2914,3081,42405,21557,0,762,609,2865,3363,13502,167,2878,550,9344,7846,1869,732,1958,0,13300,0,17614,3637,731,0,0,2630
118,12071,1321,331,228,1381,2625,2775,38198,19418,0,686,548,2580,3029,12162,151,2592,495,8416,7067,1684,659,1763,0,11984,0,15865,3275,658,0,0,2369
119,10873,1190,298,206,1244,2364,2499,34409,17491,0,618,494,2324,2729,10955,136,2335,446,7580,6366,1516,593,1588,0,10798,0,14290,2950,593,0,0,2134
120,9794,1072,268,185,1121,2129,2251,30995,15755,0,557,445,2093,2458,9868,122,2103,402,6828,5734,1366,534,1430,0,9728,0,12871,2657,534,0,0,1922
121,8821,965,241,167,1009,1918,2027,27919,14192,0,501,400,1885,2214,8888,110,1894,362,6150,5165,1230,481,1288,0,8765,0,11593,2393,481,0,0,1731
122,7946,869,217,150,909,1727,1826,25148,12783,0,452,361,1698,1994,8006,99,1706,326,5539,4652,1108,434,1160,0,7896,0,10442,2156,433,0,0,1559
123,7157,783,196,135,819,1556,1645,22652,11514,0,407,325,1529,1796,7211,89,1536,293,4989,4190,998,390,1045,0,7114,0,9405,1941,390,0,0,1405
124,6446,705,176,122,737,1401,1481,20404,10371,0,366,292,1377,1617,6496,80,1384,264,4493,3774,899,352,941,0,6408,0,8471,1749,351,0,0,1265
125,5806,635,159,110,664,1262,1334,18379,9342,0,330,263,1241,1457,5851,72,1246,238,4047,3399,809,317,848,0,5773,0,7630,1575,316,0,0,1140
126,5230,572,143,99,598,1137,1202,16554,8414,0,297,237,1117,1312,5270,65,1123,214,3645,3062,729,285,763,0,5200,0,6872,1418,285,0,0,1026
127,4710,515,129,89,539,1024,1082,14911,7579,0,268,213,1006,1182,4747,59,1011,193,3283,2758,656,257,688,0,4684,0,6190,1278,257,0,0,924
128,4243,464,116,80,485,922,975,13431,6826,0,241,192,906,1064,4275,53,911,174,2957,2484,591,231,619,0,4220,0,5575,1151,231,0,0,833
129,3821,418,104,72,437,830,878,12097,6149,0,217,173,816,959,3851,47,820,156,2663,2237,532,208,558,0,3801,0,5021,1036,208,0,0,750
130,3442,376,94,65,393,748,791,10896,5538,0,195,156,735,863,3468,43,739,141,2399,2015,480,187,502,0,3424,0,4523,933,187,0,0,675
131,3100,339,85,58,354,673,712,9814,4988,0,176,140,662,778,3124,38,665,127,2160,1815,432,169,452,0,3084,0,4074,841,169,0,0,608
132,2792,305,76,52,319,607,641,8840,4493,0,158,126,596,700,2814,34,599,114,1946,1635,389,152,407,0,2778,0,3669,757,152,0,0,548
133,2515,275,68,47,287,546,578,7962,4047,0,143,114,537,631,2534,31,540,103,1753,1472,350,137,367,0,2502,0,3305,682,137,0,0,493
134,2265,247,62,42,259,492,520,7172,3645,0,128,102,484,568,2283,28,486,92,1579,1326,315,123,330,0,2254,0,2976,614,123,0,0,444
135,2040,223,55,38,233,443,468,6459,3283,0,116,92,436,512,2056,25,438,83,1422,1194,284,111,298,0,2030,0,2681,553,111,0,0,400
136,1837,201,50,34,210,399,422,5818,2957,0,104,83,392,461,1852,23,394,75,1280,1076,256,100,268,0,1828,0,2415,498,100,0,0,360
137,1655,181,45,31,189,359,380,5240,2663,0,94,75,353,415,1668,20,355,67,1153,969,230,90,241,0,1647,0,2175,449,90,0,0,325
138,1491,163,40,28,170,324,342,4720,2399,0,84,67,318,374,1502,18,320,61,1039,873,207,81,217,0,1483,0,1959,404,81,0,0,292
139,1342,146,36,25,153,291,308,4251,2160,0,76,60,286,336,1353,16,288,55,935,786,187,73,196,0,1336,0,1764,364,73,0,0,263
140,1209,132,33,22,138,262,277,3829,1946,0,68,54,258,303,1219,15,259,49,843,708,168,66,176,0,1203,0,1589,328,65,0,0,237
141,1089,119,29,20,124,236,250,3449,1753,0,61,49,232,273,1097,13,233,44,759,637,151,59,159,0,1084,0,1431,295,59,0,0,213
142,981,107,26,18,112,213,225,3106,1578,0,55,44,209,246,988,12,210,40,683,574,136,53,143,0,976,0,1289,266,53,0,0,192
143,883,96,24,16,101,192,203,2798,1422,0,50,40,188,221,890,11,189,36,615,517,123,48,129,0,879,0,1161,239,48,0,0,173
144,796,87,21,15,91,173,182,2520,1280,0,45,36,170,199,802,9,170,32,554,466,111,43,116,0,792,0,1046,215,43,0,0,156
